,name,state,address,lat,long
0,"Cherry Creek High School, Colorado",CO,"9300 E Union Ave, Greenwood Village, CO 80111, United States",,
1,"Grand Valley State University, Michigan",MI,"1 Campus Dr, Allendale Charter Twp, MI 49401, United States",,
2,"Western University, London, ON",ON,"1151 Richmond St, London, ON N6A 3K7",,
3,University of Connecticut ,CT,"Storrs, CT 06269, United States",,
4,"Alma, AL",AL,,,
,"Auburn Hills, AL",AL,,,
,"Birmingham, AL",AL,,,
5,"Temple University, Philadelphia",PA,"1801 N Broad St, Philadelphia, PA 19122, United States",,
6,University of Arizona,AR,"Tucson, AZ 85721, United States",,
7,Grand Valley State Michigan,MI,"1 Campus Dr, Allendale Charter Twp, MI 49401, United States",,
8,University of Washington,WA,"Roosevelt Way NE, Seattle, WA 98115, United States",,
9,Bridgewater State University,MA,"131 Summer St, Bridgewater, MA 02324, United States",,
10, Stonehill College,MA,"320 Washington St, North Easton, MA 02357, United States",,
11,Bradley University in Peoria,IL,"1501 W Bradley Ave, Peoria, IL 61625, United States",,
12,"Chatham High School, New Jersey",NJ,"255 Lafayette Ave, Chatham Township, NJ 07928, United States",,
13,Toronto District School Board,ON,"5050 Yonge St, North York, ON M2N 5N8",,
14,Michigan State University,MI,"220 Trowbridge Rd., East Lansing, MI 48824, USA",,
15,SOS Alberta,AB,"East Lansing, MI 48824, USA",,
16,Temple University Philadelphia,PA,"1801 N Broad St, Philadelphia, PA 19122, United States",,
17,"University of California , San Francisco",CA,"1701 Divisadero St, San Francisco, CA 94115, United States",,
18,University of Michigan,MI,"500 S State St, Ann Arbor, MI 48109, United States",,
19,University of Alabama,AL,"801 Campus Drive, 206 Student Services Center, Tuscaloosa, AL 35401",,
20,Indiana University,IN,"107 S Indiana Ave, Bloomington, IN 47405, United States",,
21,University of North Carolina at Chapel Hill,NC,"130 Mason Farm Road, Chapel Hill, NC 27599",,
22,Emporia State University Kansas,KS,"1 Kellogg Cir, Emporia, KS 66801, United States",,
23,SUNY Oneonta,NY,"108 Ravine Pkwy, Oneonta, NY 13820, United States",,
24,"Baylor University, WACO, Texas",TX,"1311 S 5th St, Waco, TX 76706, United States",,
25,University of Dayton Ohio,OH,"300 College Park, Dayton, OH 45469, United States",,
26,Furman University,SC,"3300 Poinsett Hwy, Greenville, SC 29613, United States",,
27,Notre Dame University,IN,"Notre Dame, IN 46556, United States",,
28,Colorado schools,CO,,39,-105.547222
29,Cameron Peak,CO,,40.62477,-105.894772
30,University of South Carolina,SC,"Columbia, SC 29208, United States",,
31,University of New Mexico,NM,"Albuquerque, NM 87131, United States",,
32,University of Wyoming,WY,"1000 E University Ave, Laramie, WY 82071, United States",,
33,Bear Creek Elementary School,BC,"13780 80 Ave, Surrey, BC V3W 7X6",,
34,Kansas State University,KS,"Manhattan, KS 66506, United States",,
35, Blue Valley High School in Randolph,KS,"6001 W 159th St, Stilwell, KS 66085, United States",,
36,UNIZIK Business School,Nigeria,"Nnamdi Azikiwe University, Awka, Nigeria",,
37,University of Dayton,OH,"300 College Park, Dayton, OH 45469, United States",,
38, University of Alabama,,"801 Campus Drive, 206 Student Services Center, Tuscaloosa, AL 35401",,
39, Providence College in Rhode Island,RI,"1 Cunningham Square, Providence, RI 02918, United States",,
40, Kansas State University,,,,
41,Furman University,SC,"3300 Poinsett Hwy, Greenville, SC 29613, United States",,
42, Kappa Alpha Order,KS,,,
43,University of Dayton,OH,"300 College Park, Dayton, OH 45469, United States",,
44,Yale University,CT,"New Haven, CT 06520, United States",,
45," Norwich, CT",CT,,,
46," New London, CT",CT,,,
47,Emporia State University,KS,"1 Kellogg Cir, Emporia, KS 66801, United States",,
48,Utah State University,UT,"Logan, UT 84322, United States",,
49,"george county, MS",MS,,,
50," Hancock county, MS",MS,,,
51," Pearl River, MS",MS,,,
52," Stone, MS",MS,,,
53," Jackson county, MS",MS,,,
