title,description,link,location,state
UK universities grapple with spiralling <b>COVID-19</b> <b>outbreaks</b>,The University of Glasgow has offered a rent rebate to residents and support with securing food and medical supplies for self-isolating students in a sign of the huge challenge colleges are facing when COVID-19 outbreaks hit campus.,https://news.yahoo.com/uk-universities-grapple-spiralling-covid-145235690.html,University of Glasgow,UK
Michigan State’s <b>COVID-19</b> <b>outbreak</b> now larger than GVSU’s,"(WOOD) — The number of coronavirus cases around Michigan State <b>University</b> has ballooned to nearly 1,300 ... For the last two available weeks of data, African-Americans represented 10% of <b>COVID-19</b> deaths and 8% of cases. They comprise about 15% of the ...",https://www.woodtv.com/health/coronavirus/september-28-2020-michigan-coronavirus-update/,Michigan State University,MI
Michigan State’s <b>COVID-19</b> <b>outbreak</b> now larger than GVSU’s,"(WOOD) — The number of coronavirus cases around Michigan State <b>University</b> has ballooned to nearly 1,300 ... For the last two available weeks of data, African-Americans represented 10% of <b>COVID-19</b> deaths and 8% of cases. They comprise about 15% of the ...",https://www.woodtv.com/health/coronavirus/september-28-2020-michigan-coronavirus-update/,"Grand Valley State University, Michigan",MI
Michigan State’s <b>COVID-19</b> <b>outbreak</b> now larger than GVSU’s,"(WOOD) — The number of coronavirus cases around Michigan State <b>University</b> has ballooned to nearly 1,300 ... For the last two available weeks of data, African-Americans represented 10% of <b>COVID-19</b> deaths and 8% of cases. They comprise about 15% of the ...",https://www.woodtv.com/health/coronavirus/september-28-2020-michigan-coronavirus-update/,Michigan State University,MI
Rabies Hero campaign aims to suppress secondary disease <b>outbreaks</b> due to <b>COVID – 19</b>,WSU&#39;s Rabies Free Africa launched the Rabies Hero campaign today to raise national awareness about potential disease outbreaks in animals as people miss routine veterinary care appointments during COVID-19.,https://news.wsu.edu/2020/09/28/rabies-hero-campaign-aims-suppress-secondary-disease-outbreaks-due-covid-19/,Washington State University,WA
UCSD aims to prevent <b>COVID-19</b> <b>outbreak</b> as fall quarter begins,"Monday marks the start of fall quarter at UC San Diego, where a number of measures are being taken to prevent an outbreak of COVID-19.",https://fox5sandiego.com/news/coronavirus/ucsd-aims-to-prevent-covid-19-outbreak-as-fall-quarter-begins/,University of California San Diego,CA
Case Western Reserve researchers receive $2.3 million to study <b>COVID-19</b> spread in nursing homes,"Almost from the moment COVID-19 reached this nation&#39;s shores, nursing homes have experienced some of its most devastating effects.",https://www.news-medical.net/news/20200928/Case-Western-Reserve-researchers-receive-2423-million-to-study-COVID-19-spread-in-nursing-homes.aspx,Case Western Reserve,OH
Marquette <b>University</b> students at Cobeen Hall must quarantine for two weeks due to <b>COVID-19</b> <b>outbreak</b>,"The dormitory is the second at Marquette to be put in quarantine, after administrators placed Schroeder Hall on lockdown beginning Sept. 15.",https://www.msn.com/en-us/news/us/some-marquette-university-students-go-home-after-school-puts-dorm-under-quarantine/ss-BB19s9SU,Marquette University,WI
Michigan State <b>University</b> pushes forward with football amid a mass spike in <b>COVID-19</b> cases,"Since August 24, there have been 1,250 cases of COVID-19 linked to the reopening of Michigan State University (MSU). The university has officially recorded 499 positive cases, which both the university and the Ingham County Health Department have acknowledged is an underestimation of the true number of cases.",https://www.wsws.org/en/articles/2020/09/28/mich-s28.html,Michigan State University,MI
<b>COVID-19</b>: How do Salisbury <b>University</b> and UMES compare,"Salisbury University and the University of Maryland Eastern Shore sit less than 15 miles from one another, but the effects from COVID-19 have been very different.",https://www.delmarvanow.com/story/news/2020/09/28/covid-19-how-do-salisbury-university-and-umes-compare/5852586002/,Salisbury University,MD
<b>COVID-19</b>: How do Salisbury <b>University</b> and UMES compare,"Salisbury University and the University of Maryland Eastern Shore sit less than 15 miles from one another, but the effects from COVID-19 have been very different.",https://www.delmarvanow.com/story/news/2020/09/28/covid-19-how-do-salisbury-university-and-umes-compare/5852586002/,University of Maryland Eastern Shore,MD
Glasgow <b>University</b> to refund one month’s rent after <b>Covid-19</b> <b>outbreak</b>,The return of students to universities has led to a spike in the number of coronavirus cases across the country.,https://www.msn.com/en-gb/news/uknews/glasgow-university-to-refund-one-months-rent-after-covid-19-outbreak/ar-BB19rGei,University of Glasgow,UK
