words,category
confirmed covid,outbreaks detected
coronavirus outbreak,outbreaks detected
COVID outbreak,outbreaks detected
COVID-19 outbreak,outbreaks detected
social distancing,strategies
tested positive,outbreaks detected
positive case,outbreaks detected
active cases,outbreaks detected
contact tracing,strategies
positive tests,outbreaks detected
home,strategies
students test,outbreaks detected
positive tests,outbreaks detected
remote learning,strategies
wastewater,strategies
diagnosed with,outbreaks detected
isolation,strategies
close contact,strategies
mandatory quarantine,strategies
wastewater samples,strategies
suspended,strategies
temporarily suspended,strategies
quarantines,strategies
14 days,outbreaks detected
hospitalization,outbreaks detected
symptoms,outbreaks detected
quarantined,strategies
suspension,strategies
positivity rates,outbreaks detected
mandatory testing,strategies
online learning,strategies
remote learning,strategies
dorm wastewater,strategies
diagnosed with,outbreaks detected
isolation space,strategies
students testing,outbreaks detected
close contact,strategies
safety alert,outbreaks detected
sewer system,strategies
worst outbreak,outbreaks detected
party,causes
parties,causes
transmission,outbreaks detected
infectious,outbreaks detected
shaming,strategies
died,deaths
death,deaths
highest,outbreaks detected
face-to-face,strategies
upticks,outbreaks detected
remotely,strategies
cluster,outbreaks detected
inperson,strategies
infected,outbreaks detected
partying,causes
drinking,causes
switched,strategies
classes,outbreaks detected
surge,outbreaks detected
online only,strategies
shuttered,outbreaks detected
extracurricular,outbreaks detected
virtual,strategies
positives,outbreaks detected
confirmed,outbreaks detected
instruction,strategies
hospitalized,outbreaks detected
sorority,where
fraternity,where
transmission,outbreaks detected
blaming,strategies
die,deaths
deaths,deaths
halts,strategies
congregation,where
lab,strategies
sent,strategies
spike,outbreaks detected
arose,outbreaks detected
precautions,strategies
restrictions,strategies
gathering,where
residence,where
athletes,where
game,where
postponed,strategies
antibodies,outbreaks detected
admitted,outbreaks detected
respiratory,outbreaks detected
icu,outbreaks detected
covid positive,outbreaks detected
tracing,strategies
sewage,strategies
surveillance,strategies
grapples,outbreaks detected
cancelled,strategies
cancel,strategies
officially cancelled,strategies
exposure,outbreaks detected
pending,strategies
cohort,where
intensive,outbreaks detected
hospitalization,outbreaks detected
wave,outbreaks detected
second wave,outbreaks detected
complex,where
residents,where
masks,strategies
feces,strategies
particles,strategies
water,strategies
funeral,deaths
vaccine,outbreaks detected
14 day,strategies
in-person,strategies
lockdown,strategies
increase,outbreaks detected
classroom,where
refund,strategies
screening,strategies
isolation,strategies
isolate,strategies
mask,strategies
suspended,strategies
housing,where
isolate,strategies
isolating,strategies
opted,strategies
detected,outbreaks detected
angry,strategies
fears,strategies
two week,strategies
