,title,desciption,url,date
0,<b>COVID-19</b> <b>outbreaks</b> tied to Colorado colleges more than double as campuses ramp up efforts to stop virus,"CDPHE on Wednesday reported a dozen active outbreaks linked to colleges and universities, with seven of them identified in the last week.",https://www.denverpost.com/2020/09/17/colorado-college-university-covid-outbreak/,2020-09-17T13:26:00.0000000Z
1,"1,700 Cherry Creek High <b>School</b> students in remote learning after <b>COVID-19</b> <b>outbreak</b>","More than 1,700 students at Cherry Creek High School are now attending classes remotely after an outbreak of positive COVID-19 cases was detected among the student body.",https://www.denverpost.com/2020/09/16/cherry-creek-high-school-covid-outbreak/,2020-09-16T22:27:00.0000000Z
2,"Michigan <b>school</b> <b>COVID-19</b> <b>outbreaks</b> centered on college campuses, data shows","Michigan&#39;s school COVID-19 outbreaks are centered on college campuses where students live in close proximity to each other, new data from the state shows. That includes Grand Valley State University with 438 cases,",https://www.freep.com/story/news/education/2020/09/14/michigan-coronavirus-outbreaks/5791116002/,2020-09-14T21:28:00.0000000Z
3,How a handful of students caused Western <b>University</b>&#39;s <b>COVID-19</b> <b>outbreak</b>,The number of Western University students testing positive for COVID-19 is now at 28 after an outbreak that started with groups of students living off-campus engaging in high-risk behaviour as school resumed.,https://www.cbc.ca/news/canada/london/western-university-students-outbreak-1.5728015,2020-09-18T10:14:00.0000000Z
4,Everything we know (so far) about Western <b>University</b>&#39;s <b>COVID-19</b> <b>outbreak</b>,"A team of London Free Press journalists is covering the ongoing COVID-19 crisis at Western University, where as of Thursday 28 students had tested positive for the virus and officials have started restricting on-campus activities as London residents grow increasingly concerned.",https://lfpress.com/news/local-news/everything-we-know-about-western-universitys-covid-19-outbreak,2020-09-18T12:10:00.0000000Z
5,<b>COVID-19</b> spread shifts the <b>school</b> guidance map,The evolving COVID-19 pandemic in Minnesota continues to change school reopening recommendations around the state.,https://www.albertleatribune.com/2020/09/covid-19-spread-shifts-the-school-guidance-map/,2020-09-18T12:42:00.0000000Z
6,<b>COVID-19</b> Update: Alberta shifts asymptomatic testing strategy | Stress and fatigue of new <b>school</b> year &#39;unsustainable&#39; for teachers: ATA survey,"With news on COVID-19 happening rapidly, we’ve created this page to bring you our latest stories and information on the outbreak in and around Calgary. What’s happening now The province reported 146 new cases of COVID-19 and no new deaths on Thursday.",https://www.msn.com/en-ca/news/canada/covid-19-update-alberta-shifts-asymptomatic-testing-strategy-stress-of-new-school-year-unsustainable-for-teachers-ata-survey/ar-BB198TCG,2020-09-18T03:24:58.0000000Z
7,An entire <b>university</b> in Illinois has been told to quarantine after <b>COVID-19</b> <b>outbreak</b>,"Bradley University in Peoria, Illinois, has enacted a mandatory two-week quarantine for its entire student body following a COVID-19 outbreak, the school said Tuesday. The private university has roughly 5,",https://www.miamiherald.com/news/nation-world/national/article245592700.html,2020-09-09T14:51:00.0000000Z
8,"Schools in Alma, Auburn Hills, Birmingham among 11 reporting <b>outbreaks</b> of <b>COVID-19</b>, state says",The names of schools where COVID-19 outbreaks have occurred will be reported every Monday by state health officials,https://www.detroitnews.com/story/news/education/2020/09/14/college-campuses-covid-19-hot-spots-state-data-show/5792092002/,2020-09-16T02:58:00.0000000Z
9,Life Care Center in Wichita sees <b>COVID-19</b> <b>outbreak</b>,(KWCH) - There’s another COVID-19 outbreak at a long-term care facility in Wichita. Life Care Center near Central and Edgemoor confirmed 12 residents and 11 worker have tested positive for the virus.,https://www.kwch.com/2020/09/17/life-care-center-in-wichita-sees-covid-19-outbreak/,2020-09-17T14:30:00.0000000Z
10,New tool can detect <b>COVID-19</b> <b>outbreaks</b> in U.S. counties,"A new machine learning-based online tool developed by researchers at Massachusetts General Hospital (MGH), Harvard Medical School (HMS), Georgia Tech and Boston Medical Center allows for early detection of COVID-19 outbreaks in different U.",https://medicalxpress.com/news/2020-09-tool-covid-outbreaks-counties.html,2020-09-16T12:22:00.0000000Z
11,"‘No Evidence’ Of <b>COVID-19</b> Spread From Temple <b>University</b> <b>Outbreak</b> To Philly Communities, Officials Say","Philadelphia officials are closely monitoring a COVID-19 outbreak at. They say so far, it seems to be subsiding. “Temple University cond",https://philadelphia.cbslocal.com/2020/09/08/no-evidence-of-covid-19-spread-from-temple-university-outbreak-to-philly-communities-officials-say/,2020-09-08T20:35:00.0000000Z
12,Wastewater testing program prevents massive <b>COVID-19</b> <b>outbreak</b> at the <b>University</b> of Arizona,"Humans shed the coronavirus through fecal material, and several scientists have the duty of testing fecal material for the coronavirus.",https://www.wtvr.com/news/national/coronavirus/wastewater-testing-program-prevents-massive-covid-19-outbreak-at-the-university-of-arizona,2020-09-11T23:24:00.0000000Z
13,Grand Valley State reports biggest <b>COVID-19</b> <b>school</b> <b>outbreak</b> in the state,"The state is reporting outbreaks at schools, colleges and universities in Michigan. Monday&#39;s data shows GVSU has the highest number of cases.",https://www.wzzm13.com/article/news/health/coronavirus/grand-valley-state-reports-biggest-covid-19-school-outbreak-in-the-state/69-87c79c79-a9f9-4bf6-bc1e-0aa97b1942aa,2020-09-15T00:48:00.0000000Z
14,Hagens Berman: Class-Action Lawsuit Filed Against Seattle’s <b>University</b> of Washington Seeks Repayment for Students’ Tuition and Other Expenses amid <b>COVID-19</b> Closure,"A University of Washington grad student filed a class-action lawsuit against UW seeking tuition repayment amid COVID-19, according to Hagens Berman.",http://www.businesswire.com/news/home/20200916005919/en/Hagens-Berman-Class-Action-Lawsuit-Filed-Against-Seattle%E2%80%99s-University-of-Washington-Seeks-Repayment-for-Students%E2%80%99-Tuition-and-Other-Expenses-amid-COVID-19-Closure/?feedref=JjAwJuNHiystnCoBq_hl-XEemlDQ6NgDkiei3bSxnzGlJCVVeQL8sr5Wvng8AXxRSfe41V1BKA-b6v2ZVrSSNs-dUYKiDvY7XniNSqv88QcY1Ge_vf9QIMZ4alzIf_0HE01s4RTGeX_C4TDnN9C9Cg==,2020-09-17T11:02:00.0000000Z
15,This AI spots local <b>COVID-19</b> <b>outbreaks</b> before they’ve spun out of control,A new machine learning-based tool identifies potential COVID-19 outbreaks in different US counties by estimating how long it will take for cases to double.,https://thenextweb.com/neural/2020/09/16/this-ai-spots-local-covid-19-outbreaks-before-theyve-spun-out-of-control/,2020-09-16T12:09:00.0000000Z
16,"Several Bridgewater State <b>University</b>, Stonehill College students disciplined for off-campus parties during <b>COVID-19</b> pandemic",Students at two local colleges that recently returned to school have been disciplined by administrators for off-campus parties held in violation of school,https://www.tauntongazette.com/news/20200911/several-bridgewater-state-university-stonehill-college-students-disciplined-for-off-campus-parties-during-covid-19-pandemic/1,2020-09-11T22:06:00.0000000Z
17,Is Michigan Gov. Whitmer planning more restrictions after <b>COVID-19</b> <b>outbreaks</b> in Lansing Region?,"As coronavirus (COVID-19) cases continue to spike in areas around Michigan, the governor was asked what it would take for her to issue more restrictions and closures in the state, and specifically, the Lansing Region.",https://www.clickondetroit.com/news/local/2020/09/16/is-michigan-gov-whitmer-planning-more-restrictions-after-covid-19-outbreaks-in-lansing-region/,2020-09-17T00:40:00.0000000Z
18,Bradley <b>University</b> in Peoria quarantines entire student body after <b>COVID-19</b> <b>outbreak</b>,"Bradley University in central Illinois is requiring its entire student body to quarantine for two weeks because of clusters of COVID-19 on campus and is reverting to remote learning, officials announced Tuesday.",https://www.stltoday.com/news/local/illinois/bradley-university-in-peoria-quarantines-entire-student-body-after-covid-19-outbreak/article_5012e86a-c469-5c0c-88de-62b419818c35.html,2020-09-09T02:08:00.0000000Z
19,An entire <b>university</b> in Illinois has been told to quarantine after <b>COVID-19</b> <b>outbreak</b> | Charlotte Observer,"Bradley University in Peoria, Illinois, has enacted a mandatory two-week quarantine for its entire student body following a COVID-19 outbreak, the school said Tuesday. The private university has roughly 5,",https://www.charlotteobserver.com/news/nation-world/national/article245592700.html,2020-09-09T16:03:00.0000000Z
