,title,desciption,url,provider,date
0,A list of <b>COVID-19</b> <b>outbreaks</b> at New England colleges,Hundreds of college students at New England-area universities have become infected with COVID-19 since returning to campuses across the region this fall.,https://www.bostonglobe.com/2020/09/27/metro/list-covid-19-outbreaks-new-england-colleges/,The Boston Globe,2020-09-28T05:10:00.0000000Z
1,Why school <b>COVID-19</b> <b>outbreak</b> numbers in Michigan seem low,The State of Michigan&#39;s system of reporting school-based COVID-19 outbreaks probably understates the numbers of student and staff who are positive.,https://www.freep.com/story/news/education/2020/09/28/michigan-school-covid-19-outbreak/3507785001/,Detroit Free Press,2020-09-28T10:10:00.0000000Z
2,UK universities grapple with spiralling <b>COVID-19</b> <b>outbreaks</b>,The University of Glasgow has offered a rent rebate to residents and support with securing food and medical supplies for self-isolating students in a sign of the huge challenge colleges are facing when COVID-19 outbreaks hit campus.,https://news.yahoo.com/uk-universities-grapple-spiralling-covid-145235690.html,YAHOO!,2020-09-27T23:41:00.0000000Z
3,Michigan State’s <b>COVID-19</b> <b>outbreak</b> now larger than GVSU’s,"(WOOD) — The number of coronavirus cases around Michigan State <b>University</b> has ballooned to nearly 1,300 ... For the last two available weeks of data, African-Americans represented 10% of <b>COVID-19</b> deaths and 8% of cases. They comprise about 15% of the ...",https://www.woodtv.com/health/coronavirus/september-28-2020-michigan-coronavirus-update/,WOOD-TV,2020-09-28T19:11:00.0000000Z
4,Rabies Hero campaign aims to suppress secondary disease <b>outbreaks</b> due to <b>COVID – 19</b>,WSU&#39;s Rabies Free Africa launched the Rabies Hero campaign today to raise national awareness about potential disease outbreaks in animals as people miss routine veterinary care appointments during COVID-19.,https://news.wsu.edu/2020/09/28/rabies-hero-campaign-aims-suppress-secondary-disease-outbreaks-due-covid-19/,Washington State University News,2020-09-28T19:08:00.0000000Z
5,U.K. students locked down in <b>university</b> dorms as <b>COVID-19</b> cases rise,Thousands of students across the UK have been forced into isolation within weeks of arriving for the start of the academic year after mass coronavirus outbreaks were confirmed at university campuses.,https://www.ctvnews.ca/health/coronavirus/u-k-students-locked-down-in-university-dorms-as-covid-19-cases-rise-1.5123399,CTV News,2020-09-28T18:12:00.0000000Z
6,Ministers defend students’ return to <b>university</b> amid rash of <b>Covid-19</b> <b>outbreaks</b>,Ministers have defended the return of students to university despite government scientists insisting the rash of outbreaks on campuses in recent days had been predicted back in August. Culture Secretary Oliver Dowden said students would be able to return home to their families for Christmas if the public abides by social distancing rules as he insisted it was important they did not miss out on a year of university.,https://inews.co.uk/news/politics/ministers-defend-students-return-to-university-covid-outbreaks-663934,i,2020-09-28T18:13:00.0000000Z
7,Have Public Universities Failed Their Communities On <b>Covid-19</b> And Racism?,It is time for university leaders to pay attention to public sentiment and to become more responsive to the wants and needs of the very citizens they are supposed to be serving.,https://www.forbes.com/sites/stephengavazzi/2020/09/28/have-public-universities-failed-their-communities-on-covid-19-and-racism/,Forbes,2020-09-28T17:26:00.0000000Z
8,<b>Covid-19</b> Live Updates: Murders Climbed in 27 U.S. Cities as the Virus Spread in the Summer,The world is nearing another tragic threshold in the coronavirus pandemic: a reported death toll of one million people.,https://www.nytimes.com/live/2020/09/28/world/covid-19-coronavirus,New York Times,2020-09-28T18:10:00.0000000Z
9,UCSD aims to prevent <b>COVID-19</b> <b>outbreak</b> as fall quarter begins,"Monday marks the start of fall quarter at UC San Diego, where a number of measures are being taken to prevent an outbreak of COVID-19.",https://fox5sandiego.com/news/coronavirus/ucsd-aims-to-prevent-covid-19-outbreak-as-fall-quarter-begins/,Fox 5 San Diego,2020-09-28T15:56:00.0000000Z
