Url,Class,Tag,data-source-id,Id
https://www.wxyz.com/news/coronavirus/ingham-county-health-officials-take-emergency-action-after-covid-19-outbreak-is-linked-to-msu-students,ArticlePage-articleBody,div,,
https://www.riverfronttimes.com/newsblog/2020/09/10/frats-sororities-in-st-louis-metro-hoping-to-avoid-covid-19-outbreaks,postBody,div,,
https://badgerherald.com/news/2020/09/09/dane-county-calls-on-uw-to-close-dorms-following-campus-covid-19-outbreaks/,article-text,section,,
https://news.yahoo.com/uk-universities-grapple-spiralling-covid-145235690.html,,article,,
https://www.woodtv.com/health/coronavirus/september-28-2020-michigan-coronavirus-update/,article-content,div,,
https://news.wsu.edu/2020/09/28/rabies-hero-campaign-aims-suppress-secondary-disease-outbreaks-due-covid-19/,article-body,div,,
https://www.nytimes.com/live/2020/09/28/world/covid-19-coronavirus,live-blog-post,div,100000007364255,
https://fox5sandiego.com/news/coronavirus/ucsd-aims-to-prevent-covid-19-outbreak-as-fall-quarter-begins/,article-content,div,,
https://www.news-medical.net/news/20200928/Case-Western-Reserve-researchers-receive-2423-million-to-study-COVID-19-spread-in-nursing-homes.aspx,content-item-body,div,,
https://www.msn.com/en-us/news/us/some-marquette-university-students-go-home-after-school-puts-dorm-under-quarantine/ss-BB19s9SU,,div,,maincontent
https://www.reuters.com/article/us-health-coronavirus-usa-cases-idUSKCN26G053,,article,,
https://abc7chicago.com/coronavirus-illinois-covid-19-today-cases-numbers/6625773/,body-text,div,,
https://www.medscape.com/viewarticle/938195,article-wrapper,div,,
https://www.wsws.org/en/articles/2020/09/28/mich-s28.html,,div,,page
https://www.msn.com/en-gb/news/uknews/glasgow-university-to-refund-one-months-rent-after-covid-19-outbreak/ar-BB19rGei,,div,,maincontent
https://www.wfmynews2.com/article/news/health/coronavirus/elon-university-reports-covid-19-outbreak-among-student-athletes/83-425ae37a-3cd1-4a87-825c-fe21907e100e,article__body,div,,
https://www.wsws.org/en/articles/2020/09/22/mich-s22.html,,div,,page
https://philadelphia.cbslocal.com/2020/09/17/2-temple-university-students-fighting-for-partial-tuition-refund-after-covid-19-outbreak-forces-college-to-all-remote-learning/,main-story-wrapper,div,,
https://kdvr.com/news/coronavirus/regis-university-quarantines-residence-village-for-2-weeks-due-to-covid-19-outbreak/,article-content,div,,
https://www.clickondetroit.com/news/local/2020/09/28/study-ecmo-appears-to-help-critically-ill-covid-19-patients/,articleBody,section,,
https://bringmethenews.com/minnesota-news/university-of-minnesota-transitions-to-step-2-of-fall-covid-19-plan,m-detail--body,div,,
https://www.msn.com/en-us/news/us/university-of-delaware-eyes-layoffs-cost-cuts-amid-covid-19/ar-BB19ouwI,,div,,maincontent
